,ru-ru,en,,,,,NOTES – use \n for newline,max length
mat_rock_box2d_nohit_hard,плотный камень,dense rock,,,,,,
mat_rock_static_box2d,камень,rock,,,,,,
mat_rock_box2d,камень,rock,,,,,,
mat_item_box2d,предмет,item,,,,,,
mat_gem_box2d,самоцвет,gem,,,,,,
mat_potion_glass_box2d,стекло,glass,,,,,,
mat_glass_box2d,стекло,glass,,,,,,
mat_gem_box2d_pink,самоцвет,gem,,,,,,
mat_gem_box2d_red,самоцвет,gem,,,,,,
mat_gem_box2d_green,самоцвет,gem,,,,,,
mat_gem_box2d_orange,самоцвет,gem,,,,,,
mat_gold_box2d,золото,gold,,,,,,
mat_metal_nohit,металл,metal,,,,,,
mat_metal_rust,ржавый металл,rusted metal,,,,,,
mat_metal_rust_barrel,ржавый металл,rusted metal,,,,,,
mat_bone_box2d,кость,bone,,,,,,
mat_crystal,кристалл,crystal,,,,,,
mat_crystal_purple,сиреневый кристалл,purple crystal,,,,,,
mat_crystal_magic,кристалл,crystal,,,,,,
mat_aluminium_oxide,алюминий,aluminium,,,,,,
mat_meat,мясо,meat,,,,,,
mat_urine,моча,urine,,,,,,
mat_poo,экскременты,excrement,,,,,,
mat_rocket_particles,дым,smoke,,,,,,
mat_ice_melting_perf_killer,лёд,ice,,,,,,
mat_ice_b2,лёд,ice,,,,,,
mat_glass,стекло,glass,,,,,,
mat_neon_tube_purple,неоновая трубка,neon tube,,,,,,
mat_neon_tube_cyan,неоновая трубка,neon tube,,,,,,
mat_neon_tube_blood_red,неоновая трубка,neon tube,,,,,,
mat_blood_thick,кровь,blood,,,,,,
mat_snow_b2,снег,snow,,,,,,
mat_diamond,бриллиант,diamond,,,,,,
mat_meat_slime,слизистое мясо,slimy meat,,,,,,
mat_concrete_sand,бетон,concrete,,,,,,
mat_blood,кровь,blood,,,,,,
mat_blood_fading,кровь,blood,,,,,,
mat_gunpowder_explosive,порох,gunpowder,,,,,,
mat_fungi,гриб,fungus,,,,,,
mat_plant_material,растительный материал,plant material,,,,,,
mat_wood_player,дерево,wood,,,,,,
mat_wax_b2,воск,wax,,,,,,
mat_physics_throw_material_part2,неизвестно что,who knows,,,,,,
mat_fire_blue,огонь,fire,,,,,,
mat_gold_b2,золото,gold,,,,,,
mat_fungus_loose,гриб,fungus,,,,,,
mat_sodium,натрий,sodium,,,,,,
mat_sulphur,сера,sulphur,,,,,,
mat_salt,соль,salt,,,,,,
mat_steel_sand,сталь,steel,,,,,,
mat_slime_green,слизь,slime,,,,,,
mat_slime_pink,слизь,slime,,,,,,
mat_soil_lush,почва,soil,,,,,,
mat_radioactive_liquid_yellow,радиоактивное вещество,toxic sludge,,,,,,
mat_liquid_fire,огонь,fire,,,,,,
mat_smoke_magic,дым,smoke,,,,,,
mat_sand_herb,растение,herb,,,,,,
ENTIRELY NEW TEXT AFTER THIS LINE,,,,,,,,
biome_tower,Башня,Tower,,,,,,
biome_vault_frozen,Замёрзшая могила,Frozen vault,,,,,,
biome_clouds,Облака,Cloudscape,,,,,,
biome_liquidcave,Древняя лаборатория,Ancient laboratory,,,,,,
biome_secret_lab,Заброшенная алхимическая лаборатория,Abandoned alchemy lab,,,,,,
biome_weathercrystal,Комната с кристаллами,Crystal Chamber,,,,,,
mat_ice_poison_static,Замёрзший яд,Frozen poison,,,,,,
mat_ice_poison_glass,Замёрзший яд,Frozen poison,,,,,,
mat_ice_slime_static,Замёрзшая слизь,Frozen slime,,,,,,
mat_ice_slime_glass,Замёрзшая слизь,Frozen slime,,,,,,
mat_ice_blood_glass,Замёрзшая кровь,Frozen blood,,,,,,
mat_void_liquid,Вакуумная жидкость,Void liquid,,,,,,
mat_fungi_creeping,Тайный гриб,Mystery fungus,,,,,,
mat_purifying_powder,Очищающий порошок,Purifying powder,,,,,,
mat_magic_crystal,Волшебный кристалл,Magical crystal,,,,,,
mat_rock_static_cursed,Проклятый камень,Cursed rock,,,,,,
mat_steelfrost_static,Замёрзшая сталь,Frozen steel,,,,,,
mat_slush,Жижа,Slush,,,,,,
mat_poison,Яд,Poison,,,,,,
mat_alcohol_gas,Пары виски,Whiskey fumes,,,,,,
mat_vomit,Рвота,Vomit,,,,,,
mat_blood_fungi,кровь гриба,fungus blood,,,,,,
mat_glowshroom,светящаяся грибная спора,glowing fungal spore,,,,,,
mat_fungi_trippy,странный гриб,weird fungus,,,,,,
mat_sima,Сима,Sima,,,,,,
mat_glass_liquidcave,Закалённое стекло,Tempered glass,,,,,,
mat_templebrick_static_ruined,Развалины кирпичной стены,Ruined brick wall,,,,,,
mat_templebrick_brittle,Хрупкая кирпичная кладка,Brittle brickwork,,,,,,
mat_rock_brittle,Хрупкий камень,Brittle rock,,,,,,
mat_antidote,Антидот,Antidote,,,,,,
mat_confusion,смятениум,flummoxium,,,,,,
mat_magic_liquid_movement_faster,ускорениум,acceleratium,,,,,,
mat_magic_liquid_worm_attractor,феромон для червей,worm pheromone,,,,,,
mat_magic_liquid_protection_all,амброзия,ambrosia,,,,,,
mat_magic_liquid_mana_regeneration,концентрированная мана,concentrated mana,,,,,,
mat_meat_helpless,Мясо невинного создания,Meat of an innocent creature,,,,,,
mat_meat_trippy,Странное мясо,Weird meat,,,,,,
mat_meat_cursed,Проклятое мясо,Cursed meat,,,,,,
mat_meat_slime_cursed,Слизистое проклятое мясо,Slimy cursed meat,,,,,,
mat_meat_teleport,Эфирное мясо,Ethereal meat,,,,,,
mat_meat_polymorph,Нестабильное мясо,Unstable meat,,,,,,
mat_meat_confusion,Сомнительное мясо,Ambiguous meat,,,,,,
mat_bloodgold_box2d,Рубин,Ruby,,,,,,
mat_magic_liquid_faster_levitation,левитатиум,levitatium,,,,,,
mat_magic_liquid_faster_levitation_and_movement,торопилиум,hastium,,,,,,
mat_magic_gas_hp_regeneration,Лечилиум,Healium,,,,,,
mat_meat_polymorph_protection,Вонючее мясо,Stinky meat,,,,,,
animal_slimeshooter_weak,Хейкко лиманульяска,Heikko limanuljaska,,,,,doesn't need to be translated,
animal_wraith,Хюпиё,Hyypiö,,,,,doesn't need to be translated,
animal_wraith_glowing,Хохтава хюпиё,Hohtava hyypiö,,,,,doesn't need to be translated,
animal_necromancer_shop,Стевари,Stevari,,,,,doesn't need to be translated,
animal_mine,Маамиина,Maamiina,,,,,doesn't need to be translated,
animal_fungus_big,Итиёсиени,Itiösieni,,,,,doesn't need to be translated,
animal_lurker,Варьокупла,Varjokupla,,,,,doesn't need to be translated,
animal_scavenger_invis,Хяйвехииси,Häivehiisi,,,,,doesn't need to be translated,
animal_scavenger_shield,Кильпихииси,Kilpihiisi,,,,,doesn't need to be translated,
animal_frog_big,Йяттиконна,Jättikonna,,,,,doesn't need to be translated,
animal_tank_super,Лазер-танкки,Laser-tankki,,,,,doesn't need to be translated,
animal_plague_rats_rat,Рутторотта,Ruttorotta,,,,,doesn't need to be translated,
animal_giantshooter_weak,Хейкко эйтинульяска,Heikko äitinuljaska,,,,,doesn't need to be translated,
animal_acidshooter_weak,Хейкко хаппонульяска,Heikko happonuljaska,,,,,doesn't need to be translated,
animal_wraith_storm,Уккосхюпиё,Ukkoshyypiö,,,,,doesn't need to be translated,
animal_skycrystal_physics,Тайваскристалли,Taivaskristalli,,,,,doesn't need to be translated,
animal_slimeshooter_nontoxic,Лиманульяска,Limanuljaska,,,,,doesn't need to be translated,
animal_turret_right,Торьюнталайте,Torjuntalaite,,,,,doesn't need to be translated,
animal_turret_left,Торьюнталайте,Torjuntalaite,,,,,doesn't need to be translated,
animal_necromancer,Хахмонвайхтая,Hahmonvaihtaja,,,,,doesn't need to be translated,
animal_lukki_tiny,Пиккухямяхякки,Pikkuhämähäkki,,,,,doesn't need to be translated,
animal_spearbot,Пейтсивартия,Peitsivartija,,,,,doesn't need to be translated,
animal_ultimate_killer,Каухухирвиё,Kauhuhirviö,,,,,doesn't need to be translated,
animal_goblin_bomb,Сяхикяйсменнинкяйнен,Sähikäismenninkäinen,,,,,doesn't need to be translated,
animal_pebble_physics,Лохкаре,Lohkare,,,,,doesn't need to be translated,
animal_chest_leggy,Ялкаматкатавара,Jalkamatkatavara,,,,,doesn't need to be translated,
animal_boss_centipede,Колмисильмя,Kolmisilmä,,,,,doesn't need to be translated,
animal_failed_alchemist,Кадотетту алкемисти,Kadotettu alkemisti,,,,,doesn't need to be translated,
animal_failed_alchemist_b,Эпяалкемисти,Epäalkemisti,,,,,doesn't need to be translated,
animal_enlightened_alchemist,Валайстунут алкемисти,Valaistunut alkemisti,,,,,doesn't need to be translated,
animal_lasergun,Ласерканууна,Laserkanuuna,,,,,doesn't need to be translated,
animal_monk,Мункки,Munkki,,,,,doesn't need to be translated,
animal_statue,Патсас,Patsas,,,,,doesn't need to be translated,
animal_boss_alchemist,Илиалкемисти,Ylialkemisti,,,,,doesn't need to be translated,
animal_wizard_returner,Палауттаяместари,Palauttajamestari,,,,,doesn't need to be translated,
animal_wizard_swapper,Вайхдосместари,Vaihdosmestari,,,,,doesn't need to be translated,
animal_drone_lasership,Йяттилазер-леннокки,Jättilaser-lennokki,,,,,doesn't need to be translated,
animal_shaman,Мяркияйнен,Märkiäinen,,,,,doesn't need to be translated,
actiondesc_cloud_acid ,Создаёт дождь из кислоты ,Creates a rain of acid ,,,,,,
actiondesc_damage_x2,"Заклинания, накладываемые одновременно с этим, наносят двойной урон",Spells cast alongside this spell deal double damage,,,,,,
actiondesc_damage_x5,"Заклинания, накладываемые одновременно с этим, наносят пятикратный урон",Spells cast alongside this spell deal quintuple damage,,,,,,
actiondesc_unstable_gunpowder,Снаряд выпускает хлопушки при исчезновении,Makes a projectile release firecrackers when it disappears,,,,,,
actiondesc_slow_bullet_timer,"Медленный, но мощный шар энергии; по истечении таймера накладывает другое заклинание",A slow but powerful orb of energy that casts another spell after a timer runs out,,,,,,
actiondesc_bouncy_orb_timer,Быстрый дуговой снаряд; по истечении таймера накладывает другое заклинание,"A fast, arcing projectile that casts another spell after a timer runs out",,,,,,
actiondesc_heal_bullet,"Волшебный молния, исцеляющая других существ",A magical bolt that heals other beings,,,,,,
action_explosive_projectile,Взрывающийся снаряд,Explosive projectile,,,,,,
action_explosion,Взрыв,Explosion,,,,,,
actiondesc_arc_electric,Создаёт электрические дуги между снарядами (расходует 2 снарядных заклинания),Creates arcs of lightning between projectiles (requires 2 projectile spells),,,,,,
actiondesc_arc_fire,Создаёт огненные дуги между снарядами (расходует 2 снарядных заклинания),Creates arcs of fire between projectiles (requires 2 projectile spells),,,,,,
